"","iso3c","Country","Region","Continent","Cost_1_GB_USD_month_2018","Cost_1_GB_USD_month_2019","Afford_decile_1_2015","Afford_decile_1_2016","Afford_decile_1_2017","Afford_decile_1_2018","Afford_decile_1_2019","Afford_2015","Afford_2016","Afford_2017","Afford_2018","Afford_2019","Price_data_year_2015","Price_data_year_2016","Price_data_year_2017","Price_data_year_2018","Price_data_year_2019","GNI_WB_capita_2015","GNI_WB_capita_2016","GNI_WB_capita_2017","GNI_WB_capita_2018","GNI_WB_capita_2019","share_bottom_10_2015","share_bottom_10_2016","share_bottom_10_2017","share_bottom_10_2018","share_bottom_10_2019","Decile_1_current_2015","Decile_1_current_2016","Decile_1_current_2017","Decile_1_current_2018","Decile_1_current_2019","surveyyear_2015","surveyyear_2016","surveyyear_2017","surveyyear_2018","surveyyear_2019","A4AI_Income_2018","A4AI_Income_2019","A4AI_Income_month_2018","A4AI_Income_month_2019"
"41","HTI","Haiti","Latin America & Caribbean","Americas",2.44747275213,2.034504999993,0.378095238095238,0.280952380952381,0.292380952380952,0.174819482295,0.147161301988644,0.0794,0.059,0.0614,0.03864430661,0.030517575,65.108,46.02,46.664,30.915445288,24.10888425,820,780,760,800,790,2.1,2.1,2.1,2.1,2.1,172.2,163.8,159.6,168,165.9,"2012","2012","2012","2012","2012",760.000000050719,799.999999997248,63.3333333375599,66.6666666664373
"42","HND","Honduras","Latin America & Caribbean","Americas",18.86219899213,18.760961996957,0.658461538461538,0.975,0.815454545454546,1.08403442483506,1.0466366525499,0.0856,0.0975,0.0897,0.10059839462,0.096622980242,176.336,206.7,201.825,233.3882755184,230.92892277838,2060,2120,2250,2320,2390,1.3,1,1.1,0.9,0.9,267.8,212,247.5,208.8,215.1,"2015","2016","2017","2018","2018",2250.00000010497,2329.99999999611,187.500000008748,194.166666666342
"43","IND","India","South Asia","Asia",0.72773835441,0.753854499951,0.107575757575758,0.0815151515151515,0.0463636363636364,0.013165777556038,0.0128699018344174,0.0355,0.0269,0.0153,0.00479827486,0.004478343564,56.8,45.192,27.999,9.6445324686,9.53887179132,1600,1680,1830,2010,2130,3.3,3.3,3.3,3.3,3.3,528,554.4,603.9,663.3,702.9,"2011","2011","2011","2011","2011",1820.00000160891,2020.00000002947,151.666666800743,168.33333333579
"44","IDN","Indonesia","East Asia & Pacific","Asia",2.29700023121,3.859724610895,0.0527586206896552,0.0517857142857143,0.0339285714285714,0.0255695758576252,0.0408436466761376,0.0153,0.0145,0.0095,0.00778644146,0.012061639409,52.479,49.3,33.535,29.977799621,48.84963960645,3430,3400,3530,3850,4050,2.9,2.8,2.8,2.8,2.8,994.7,952,988.4,1078,1134,"2015","2016","2017","2018","2018",3540.00000078598,3840.00000001492,295.000000065499,320.000000001244
"45","IRN","Iran","Middle East & North Africa","Asia",1.65973013614,1.920000000192,NA,NA,NA,NA,NA,NA,NA,NA,0.00368828919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5400.00000208227,NA,450.000000173522,NA
"46","JAM","Jamaica","Latin America & Caribbean","Americas",5.89961415414,7.723359199272,0.06,0.187619047619048,0.0861904761904762,0.0678311486535211,0.0840637735975184,0.0126,0.0394,0.0181,0.01490428839,0.018573208495,59.346,181.24,85.794,74.0743132983,97.50934459875,4710,4600,4740,4970,5250,2.1,2.1,2.1,2.1,2.1,989.1,966,995.4,1043.7,1102.5,"2004","2004","2004","2004","2004",4749.99999981079,4990.00000006536,395.833333317566,415.83333333878
"47","JOR","Jordan","Middle East & North Africa","Asia",8.15154555201,8.181189999787,0.0414285714285714,0.062,0.0422857142857143,0.066543228996,0.0652320797325209,0.0145,0.0217,0.0148,0.02457752428,0.023319306413,56.55,85.281,59.496,103.225601976,100.2730175759,3900,3930,4020,4200,4300,3.5,3.5,3.5,3.5,3.5,1365,1375.5,1407,1470,1505,"2010","2010","2010","2010","2010",3979.99999958173,4209.99999994485,331.666666631811,350.833333328738
"48","KAZ","Kazakhstan","Europe & Central Asia","Asia",2.12547511647,2.075089488733,0.0130232558139535,0.0147619047619048,0.0158139534883721,0.00735013440466845,0.00657315256574083,0.0056,0.0062,0.0068,0.00323266177,0.003180213776,63.728,54.374,54.672,26.0875804839,28.01768336656,11380,8770,8040,8070,8810,4.3,4.2,4.3,4.3,4.3,4893.4,3683.4,3457.2,3470.1,3788.3,"2015","2016","2017","2017","2017",7890.00001000414,7829.99999959625,657.500000833678,652.499999966354
"49","KEN","Kenya","Sub-Saharan Africa","Africa",4.86201912371,4.190310535602,0.405,0.180416666666667,0.167083333333333,0.151938097615937,0.119723158160057,0.0972,0.0433,0.0401,0.04051682603,0.031039337301,125.388,58.455,56.942,64.826921648,54.31884027675,1290,1350,1420,1600,1750,2.4,2.4,2.4,2.4,2.4,309.6,324,340.8,384,420,"2015","2015","2015","2015","2015",1440.00000003258,1619.99999998724,120.000000002715,134.999999998937
"50","KGZ","Kyrgyzstan","Europe & Central Asia","Asia",3.07728772466,3.070477563426,NA,NA,NA,0.0703916368584064,0.0691030209323181,NA,NA,NA,0.03267916168,0.030201418657,NA,NA,NA,39.8685772496,37.44975913468,NA,NA,NA,1220,1240,NA,NA,NA,4.3,4.3,NA,NA,NA,524.6,533.2,NA,NA,NA,"2018","2018",1129.99999992411,1219.99999998583,94.1666666603426,101.666666665486
"51","LAO","Laos","East Asia & Pacific","Asia",4.70607635556,4.60789999987,NA,NA,NA,0.072031780952449,0.0672358949397373,NA,NA,NA,0.02487793668,0.022477560975,NA,NA,NA,60.950944866,57.76733170575,NA,NA,NA,2450,2570,NA,NA,NA,3.2,3.2,NA,NA,NA,784,822.4,NA,NA,NA,"2012","2012",2270.00000012541,2459.99999999733,189.166666677118,204.999999999778
"52","LBN","Lebanon","Middle East & North Africa","Asia",21.09,21.09,NA,NA,NA,0.105749623934481,0.10741935483871,NA,NA,NA,0.03045487365,0.032910273082,NA,NA,NA,235.111624578,250.1180754232,NA,NA,NA,7720,7600,NA,NA,NA,3.1,3.1,NA,NA,NA,2393.2,2356,NA,NA,NA,"2011","2011",8309.99999896568,7689.99999998238,692.499999913807,640.833333331865
"53","LSO","Lesotho","Sub-Saharan Africa","Africa",4.80481042436,5.363372570816,NA,NA,NA,0.264971163108088,0.278375738969689,NA,NA,NA,0.04504509773,0.046638022355,NA,NA,NA,57.6577250944,63.4277104028,NA,NA,NA,1280,1360,NA,NA,NA,1.7,1.7,NA,NA,NA,217.6,231.2,NA,NA,NA,"2017","2017",1279.99999995382,1379.99999999768,106.666666662819,114.999999999807
"54","LBR","Liberia","Sub-Saharan Africa","Africa",5.75,8.625,NA,NA,NA,0.390050876201244,0.615338882282996,NA,NA,NA,0.18157894737,0.1725,NA,NA,NA,110.7631578957,100.05,630,620,620,610,580,2.9,2.9,2.9,2.9,2.9,182.7,179.8,179.8,176.9,168.2,"2016","2016","2016","2016","2016",379.999999996696,600,31.6666666663913,50
"55","LBY","Libya","Middle East & North Africa","Africa",11.22387353737,11.367682662815,NA,NA,NA,NA,NA,NA,NA,NA,0.02059426337,0.021550109313,NA,NA,NA,140.040990916,164.64283515132,NA,NA,NA,6800,7640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6540.00000041953,6330.00000011554,545.000000034961,527.500000009629
"56","MDG","Madagascar","Sub-Saharan Africa","Africa",6.24028015187,5.988054500056,NA,NA,NA,0.66740964191123,0.628117604900979,NA,NA,NA,0.18720840456,0.163310577274,NA,NA,NA,95.4762863256,84.92150018248,NA,NA,NA,510,520,NA,NA,NA,2.2,2.2,NA,NA,NA,112.2,114.4,NA,NA,NA,"2012","2012",399.999999991667,440.000000000686,33.3333333326389,36.6666666667238
