Region,Subregion,Country_Name,ISO3,Cost_100_MB_USD,Cost_100_MB_Share_GNICM,Cost_500_MB_USD,Cost_500_MB_Share_GNICM,Cost_1_GB_USD,Cost_1_GB_Share_GNICM,Cost_2_GB_USD,Cost_2_GB_Share_GNICM,Cost_5_GB_USD,Cost_5_GB_Share_GNICM,Cost_10_GB_USD,Cost_10_GB_Share_GNICM,GBs_per_2%_GNICM
Africa,Eastern Africa,Mauritius,MUS,5.959529333491,0.005934800996,5.959529333491,0.005934800996,5.959529333491,0.005934800996,8.485234622447,0.008450026180,14.160976844820,0.014102217605,28.321953689640,0.028204435210,3.369952929079
Americas,Central America,Mexico,MEX,8.408993747908,0.010992148690,8.408993747908,0.010992148690,8.408993747908,0.010992148690,8.408993747908,0.010992148690,15.696788329428,0.020518677555,26.161313882380,0.034197795925,1.819480482288
Asia,Eastern Asia,Mongolia,MNG,6.300123286884,0.021117731688,6.300123286884,0.021117731688,6.300123286884,0.021117731688,6.300123286884,0.021117731688,11.454769612515,0.038395875796,11.454769612515,0.038395875796,0.947071413521
Africa,Northern Africa,Morocco,MAR,5.190857499948,0.020158669903,5.190857499948,0.020158669903,5.190857499948,0.020158669903,5.190857499948,0.020158669903,5.190857499948,0.020158669903,10.381714999895,0.040317339805,0.992128949803
Africa,Eastern Africa,Mozambique,MOZ,0.473165666654,0.012904518181,1.667345682493,0.045473064068,2.501018523740,0.068209596102,4.168364206233,0.113682660170,7.886094444225,0.215075303024,15.772188888450,0.430150606049,0.293213875216
Asia,South-Eastern Asia,Myanmar,MMR,0.458692071437,0.004201759433,0.655555621410,0.006005089662,0.655555621410,0.006005089662,1.311111242820,0.012010179324,3.277778107050,0.030025448309,6.555556214101,0.060050896618,3.330508140007
Africa,Southern Africa,Namibia,NAM,3.118180054418,0.007127268696,8.566428720927,0.019580408505,8.566428720927,0.019580408505,10.565262089144,0.024149170489,13.523535474104,0.030910938227,18.160828888366,0.041510466031,1.021429149188
Asia,Southern Asia,Nepal,NPL,1.319676720923,0.016495959012,3.045407817514,0.038067597719,5.075679695857,0.063445996198,10.151359391714,0.126891992396,18.272446905084,0.228405586314,28.423806296798,0.355297578710,0.315228717310
Americas,Central America,Nicaragua,NIC,9.118566667971,0.053902857151,9.118566667971,0.053902857151,9.118566667971,0.053902857151,11.246232223830,0.066480190486,14.329176192525,0.084704489808,24.359599527293,0.143997632674,0.371037845807
Africa,Western Africa,Niger,NER,3.425293333207,0.108167157891,3.425293333207,0.108167157891,3.425293333207,0.108167157891,6.850586666413,0.216334315781,10.275879999620,0.324501473672,13.701173332827,0.432668631563,0.184899006223
Africa,Western Africa,Nigeria,NGA,2.776454999806,0.016998704080,2.776454999806,0.016998704080,2.776454999806,0.016998704080,3.331745999767,0.020398444897,9.717592499320,0.059495464282,13.882274999029,0.084993520402,1.176560278087
Asia,Southern Asia,Pakistan,PAK,1.429926866949,0.010860204053,1.429926866949,0.010860204053,1.429926866949,0.010860204053,1.429926866949,0.010860204053,2.859853733897,0.021720408106,4.750859059985,0.036082473873,1.841586023873
Oceania,Melanesia,Papua New Guinea,PNG,8.884998333716,0.042142284587,10.069664778212,0.047761255865,19.843162945300,0.094117768911,22.847138572413,0.108365874652,38.501659446104,0.182616566543,68.118320558492,0.323090848499,0.212499724882
Americas,Southern America,Paraguay,PRY,7.186420000349,0.015182577466,7.186420000349,0.015182577466,7.186420000349,0.015182577466,7.186420000349,0.015182577466,9.581893333798,0.020243436621,10.266314286212,0.021689396379,1.317299387763
Americas,Southern America,Peru,PER,9.035420000224,0.016604140889,9.035420000224,0.016604140889,9.035420000224,0.016604140889,9.035420000224,0.016604140889,15.059033333707,0.027673568148,30.118066667413,0.055347136295,1.204518808541
Asia,South-Eastern Asia,Philippines,PHL,4.329943749768,0.013566403394,4.329943749768,0.013566403394,4.329943749768,0.013566403394,5.773258333024,0.018088537858,7.120351944063,0.022309196692,9.154738213795,0.028683252889,1.474230082937
Africa,Eastern Africa,Rwanda,RWA,2.205361111059,0.033928632478,2.205361111059,0.033928632478,2.205361111059,0.033928632478,3.308041666588,0.050892948717,5.513402777647,0.084821581195,9.451547618824,0.145408424905,0.589472623545
Africa,Western Africa,Senegal,SEN,2.568969999905,0.021863574467,3.425293333207,0.029151432623,3.425293333207,0.029151432623,3.425293333207,0.029151432623,6.850586666413,0.058302865246,13.701173332827,0.116605730492,0.686072628355
Africa,Western Africa,Sierra Leone,SLE,0.962713197650,0.023105116744,2.056045773875,0.049345098573,4.107576309972,0.098581831439,6.208451944641,0.149002846671,18.625355833924,0.447008540014,31.042259723206,0.745014233357,0.202877139814
Oceania,Melanesia,Solomon Islands,SLB,7.857428571405,0.047144571428,7.857428571405,0.047144571428,9.690828571400,0.058144971428,18.333999999945,0.110004000000,30.556666666575,0.183339999999,62.335599999814,0.374013599999,0.343967836060
Africa,Eastern Africa,Somalia,SOM,2.000000000000,NA,2.000000000000,NA,4.000000000000,NA,5.000000000000,NA,10.000000000000,NA,20.000000000000,NA,NA
Africa,Southern Africa,South Africa,ZAF,2.017600404945,0.004232728122,6.251579579854,0.013115201916,10.366291735752,0.021747465180,14.908377376440,0.031276316174,28.176833241472,0.059112237570,42.091318792817,0.088303465999,0.919647408770
