"","country","0_1","1_2","2_5","5_10","10_20","20_50","50_100","100_200","200_500","500_1000","1000_5000"
"45","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","India",0.196710517836049,0.212041609996458,0.328585629135786,0.175413301132804,0.087247971743695,9.70155207740028e-07,0,0,0,0,0
"47","Indonesia",0.297777035872074,0.248123246868656,0.335665028641526,0.0841593450139154,0.034275343603828,0,0,0,0,0,0
"48","Iran (Islamic Republic of)",0.0292247273629513,0.0470335972008818,0.170658207168117,0.231955039278602,0.271971169702716,6.96390928883553e-06,0.111110752146715,0.0600612048654321,0.0390952431617641,0.0140924396498288,0.0247906555537033
"49","Ireland",0,0.00182795600836158,0.0131079532576562,0.0497091760584778,0.190521434099905,1.68410534359608e-05,0.47952794527219,0.265288694249973,0,0,0
"50","Italy",0.0287339871945575,0.042363406901484,0.101793159469438,0.111317584929799,0.133779534790822,5.34892268746166e-06,0.129875368277886,0.452131609513326,0,0,0
"51","Jamaica",0.113255291536148,0.0995892902748315,0.166165440965689,0.0683221882280586,0.0462100561338038,0.000171997727545175,0.0477397934984859,0.0603685963421817,0.398177345293256,0,0
"52","Japan",0.280489810402953,0.256416914428158,0.241810887656934,0.0854723048093859,0.0776283274692841,2.81301256334688e-05,0.0581536251076518,0,0,0,0
"53","Jordan",0.0474561930668016,0.240609975961538,0.165628162955466,0.16222798582996,0.192888885374494,0.000288619686234818,0.0746101657388664,0.11629001138664,0,0,0
"54","Korea Rep. of ",0.305622476771085,0.412353545723775,0.28202397750514,0,0,0,0,0,0,0,0
"55","Kyrgyzstan",0.0907815648156734,0.0838831235615953,0.17041164717883,0.104791731649539,0.087921194392224,1.09592736530631e-05,0.0420153261226933,0.0354439770361066,0.0643638141644397,0.101712175753029,0.218664486052217
"56","Lao People's Democratic Republic",0.127708313448506,0.300467691132958,0.571823995418536,0,0,0,0,0,0,0,0
"57","Latvia ",0,0.00651002705906899,0.0476323718980328,0.115563089036144,0.253324965994207,3.23479605419577e-06,0.260926736721567,0.136306218733674,0.0820829498752177,0.0976504058860349,0
"58","Lebanon",0.219632771549953,0.170277701278121,0.282843559957923,0.106172995571046,0.118493704203669,0.000338605037540012,0.102240662401748,0,0,0,0
"59","Lesotho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Libya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Lithuania",4.1074154868458e-05,0.0131437295579065,0.167459329398703,0.182246025151348,0.213873124400061,4.96997273908341e-05,0.100220937879037,0.075247851719015,0.0748781843251989,0.172840043686471,0
"62","Luxembourg",0,0.00385987785630961,0.010035682426405,0.0186131887737597,0.0317367734852124,0.000463185342757154,0.597852192410622,0.337439099704934,0,0,0
"63","Malawi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Mali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Malta",0.330985915492958,0.248964374482187,0.290492957746479,0.0964167357083679,0.0331400165700083,0,0,0,0,0,0
"66","Martinique",0.151497833023765,0.139591370195742,0.347001952659904,0.200600085726532,0.159356098490261,0.00195265990379578,0,0,0,0,0
"67","Morocco",0.0236416865044176,0.0583651750398767,0.207500376771555,0.262938251929861,0.260960721669485,4.57954376087121e-06,0.0812046087418217,0.105384599799222,0,0,0
"68","Mozambique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Myanmar",0.0562346314018232,0.138975764751325,0.381015733633627,0.293697748530507,0.130069299689458,6.82199325940018e-06,0,0,0,0,0
"70","Namibia",0.0289805030306967,0.130591746522305,0.546533929102551,0.248182094787475,0.0406862058002031,0.000307684944291931,0.00471783581247628,0,0,0,0
"71","Nepal",0.388820502502414,0.298400135340992,0.23969937118435,0.0526556336629821,0.0204243573092613,0,0,0,0,0,0
"72","Netherlands",0,0.0171663328119854,0.046539835623605,0.0963027378159909,0.212309778737259,0.000125341477674814,0.381645336557438,0.245910636976047,0,0,0
"73","New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Nicaragua",0.0031709456859222,0.00579729073665673,0.0265034981653928,0.0447752788457103,0.0945078813317812,2.99560305383758e-06,0.238052386706792,0.207575920064529,0.379613802860162,0,0
"75","Northern Mariana Islands ",0.0509868421052632,0.115131578947368,0.273026315789474,0.185855263157895,0.189144736842105,0.185855263157895,0,0,0,0,0
"76","Norway",0.000569375354806758,0.00589758318691852,0.0636757053600457,0.204244036298521,0.542788221005234,0.000186984214152515,0.154790923011355,0.024873954109694,0.00297321745927197,0,0
"77","Pakistan",0.0655804628457022,0.109760322731115,0.315733529666599,0.215569272292745,0.184162708424049,3.54552172906231e-06,0.109190158518061,0,0,0,0
"78","Panama",0.00756026921614019,0.0120536243815947,0.0332865439638431,0.044585148117461,0.0874164608415871,5.16477605224652e-05,0.216128370071086,0.183824008942941,0.182124447467443,0.0790823506033815,0.153887128634
"79","Paraguay",0.000370165811548363,0.00136894712587088,0.00833511142713925,0.0187568970549235,0.035139489009159,6.66376858064473e-06,0.0218923526112674,0.0247896111063855,0.0457332259987497,0.0440310468898036,0.799576489196572
"80","Peru ",0,0,0.0588962486516817,0.0542725351036363,0.0476448680977882,2.3221843835178e-06,0.83918402596251,0,0,0,0
"81","Philippines",0.0974454576271306,0.192762159399947,0.370443343717307,0.225564935654828,0.113783632298223,4.71302563638512e-07,0,0,0,0,0
